id,title,description,category,ageRangeKey,ageRange,startMonths,endMonths,period,importance,isTypical,prerequisites,skills,observationTips,supportStrategies,redFlags,resources,createdDate,modifiedDate
prenatal_first_physical_1,Neural tube formation,Neural tube formation and early brain development,physical,prenatal_early,Prenatal (First Trimester),-9,-6,prenatal,critical,true,,Neural development,Monitor prenatal health,Proper prenatal care and nutrition,Severe developmental abnormalities,Prenatal care resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_first_cognitive_1,Basic neural connections,Basic neural connections and pathway formation,cognitive,prenatal_early,Prenatal (First Trimester),-9,-6,prenatal,critical,true,,Brain development,Regular prenatal checkups,Avoid harmful substances,Neural tube defects,Educational prenatal materials,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_first_social_emotional_1,Maternal bonding begins,Maternal bonding begins through prenatal connection,social_emotional,prenatal_early,Prenatal (First Trimester),-9,-6,prenatal,high,true,,Emotional response,Manage maternal stress,Stress reduction techniques,Extreme maternal stress,Stress management resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_first_language_1,Auditory system formation,Auditory system formation and early hearing development,language,prenatal_early,Prenatal (First Trimester),-9,-6,prenatal,high,true,,Hearing development,Monitor auditory development,Healthy prenatal environment,Hearing defects,Prenatal hearing information,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_second_physical_1,Heart development begins,Heart development begins with organ formation,physical,prenatal_late,Prenatal (Second Trimester),-6,-3,prenatal,critical,true,prenatal_first_physical_1,Organ development,Regular ultrasounds,Continued prenatal care,Major organ defects,Medical prenatal support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_second_cognitive_1,Sensory system development,Sensory system development and early processing,cognitive,prenatal_late,Prenatal (Second Trimester),-6,-3,prenatal,high,true,prenatal_first_cognitive_1,Sensory development,Monitor fetal responses,Provide sensory stimulation,Sensory processing delays,Sensory development information,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_second_social_emotional_1,Stress response system,Stress response system development,social_emotional,prenatal_late,Prenatal (Second Trimester),-6,-3,prenatal,medium,true,prenatal_first_social_emotional_1,Stress regulation,Maintain maternal well-being,Relaxation techniques,Excessive stress responses,Maternal wellness resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_second_language_1,Sound processing development,Sound processing development and recognition,language,prenatal_late,Prenatal (Second Trimester),-6,-3,prenatal,high,true,prenatal_first_language_1,Sound recognition,Monitor hearing development,Provide musical stimulation,Hearing impairments,Prenatal music resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_third_physical_1,Rapid brain growth,Rapid brain growth and preparation for birth,physical,prenatal_late,Prenatal (Third Trimester),-3,0,prenatal,critical,true,prenatal_second_physical_1,Brain maturation,Monitor brain development,Optimal nutrition and care,Brain development concerns,Brain development resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_third_cognitive_1,Memory pathway formation,Memory pathway formation and early learning capacity,cognitive,prenatal_late,Prenatal (Third Trimester),-3,0,prenatal,high,true,prenatal_second_cognitive_1,Memory development,Assess cognitive responses,Provide learning opportunities,Memory formation issues,Cognitive development guides,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
