id,title,description,category,ageRangeKey,ageRange,startMonths,endMonths,period,importance,isTypical,prerequisites,skills,observationTips,supportStrategies,redFlags,resources,createdDate,modifiedDate
prenatal_early_physical_1,Neural tube formation,Neural tube formation and early brain development,physical,prenatal_early,-12 to -6 months,-12,-6,prenatal,critical,true,,Neural development,Monitor prenatal health,Proper prenatal care and nutrition,Severe developmental abnormalities,Prenatal care resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_early_cognitive_1,Basic neural pathway formation,Basic neural pathway formation and brain structure,cognitive,prenatal_early,-12 to -6 months,-12,-6,prenatal,high,true,,Brain development,Regular prenatal checkups,Avoid harmful substances,Neural tube defects,Educational prenatal materials,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_early_social_emotional_1,Response to maternal stress,Response to maternal stress and emotions,social_emotional,prenatal_early,-12 to -6 months,-12,-6,prenatal,medium,true,,Emotional response,Manage maternal stress,Stress reduction techniques,Extreme maternal stress,Stress management resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_early_language_1,Auditory system development,Auditory system development for hearing,language,prenatal_early,-12 to -6 months,-12,-6,prenatal,high,true,,Hearing development,Monitor auditory development,Healthy prenatal environment,Hearing defects,Prenatal hearing information,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_late_physical_1,Organ formation,Organ formation and basic body structure development,physical,prenatal_late,-6 to 0 months,-6,0,prenatal,critical,true,prenatal_early_physical_1,Physical structure,Regular ultrasounds,Continued prenatal care,Major organ defects,Medical prenatal support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_late_cognitive_1,Sensory organ development,Sensory organ development and initial response capabilities,cognitive,prenatal_late,-6 to 0 months,-6,0,prenatal,high,true,prenatal_early_cognitive_1,Sensory development,Monitor sensory responses,Sensory stimulation activities,Sensory impairments,Sensory development guides,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_late_social_emotional_1,Initial bonding preparation,Initial bonding preparation through maternal interactions,social_emotional,prenatal_late,-6 to 0 months,-6,0,prenatal,medium,true,prenatal_early_social_emotional_1,Bonding preparation,Talk and sing to baby,Positive maternal interactions,Attachment concerns,Bonding preparation materials,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_late_language_1,Vocal cord formation,Vocal cord formation and preparation for sound production,language,prenatal_late,-6 to 0 months,-6,0,prenatal,high,true,prenatal_early_language_1,Voice development,Monitor vocal development,Healthy vocal environment,Vocal defects,Voice development resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_0_6_physical_1,Head control,Head control and neck strength development,physical,infancy_0_6,0-6 months,0,6,infancy,critical,true,,Neck strength,Tummy time practice,Daily tummy time,No head control by 4 months,Tummy time activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_0_6_cognitive_1,Visual tracking,Visual tracking and focus development,cognitive,infancy_0_6,0-6 months,0,6,infancy,high,true,,Visual focus,Follow objects with eyes,Use colorful toys,No visual tracking by 3 months,Visual stimulation toys,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_0_6_social_emotional_1,Social smiling,Social smiling and interaction with caregivers,social_emotional,infancy_0_6,0-6 months,0,6,infancy,high,true,,Social response,Respond to smiles,Frequent face-to-face interaction,No social smiling by 2 months,Social interaction guides,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_0_6_language_1,Cooing,Cooing and early vocalizations,language,infancy_0_6,0-6 months,0,6,infancy,high,true,,Vocalization,Make cooing sounds,Talk back to baby,No vocalizations by 4 months,Language development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_6_12_physical_1,Rolling over,Rolling over and basic mobility skills,physical,infancy_6_12,6m - 1y 0m,6,12,infancy,critical,true,infancy_0_6_physical_1,Rolling mobility,Roll from back to tummy,Encourage rolling practice,No rolling by 8 months,Mobility development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_6_12_cognitive_1,Object permanence,Object permanence understanding,cognitive,infancy_6_12,6m - 1y 0m,6,12,infancy,high,true,infancy_0_6_cognitive_1,Memory development,Look for hidden objects,Peek-a-boo games,No object permanence by 10 months,Cognitive development toys,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_6_12_social_emotional_1,Attachment formation,Attachment formation with primary caregivers,social_emotional,infancy_6_12,6m - 1y 0m,6,12,infancy,critical,true,infancy_0_6_social_emotional_1,Secure attachment,Show preference for caregivers,Consistent responsive care,No attachment behaviors by 8 months,Attachment building strategies,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_6_12_language_1,Babbling,Babbling and sound experimentation,language,infancy_6_12,6m - 1y 0m,6,12,infancy,high,true,infancy_0_6_language_1,Sound production,Make babbling sounds,Imitate and respond to sounds,No babbling by 8 months,Babbling encouragement activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_12_18_physical_1,Sitting support,Sitting with and without support,physical,infancy_12_18,1y 0m - 1y 6m,12,18,infancy,critical,true,infancy_6_12_physical_1,Sitting balance,Sit independently,Provide sitting practice,No sitting by 12 months,Sitting development aids,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_12_18_cognitive_1,Cause and effect,Cause and effect recognition,cognitive,infancy_12_18,1y 0m - 1y 6m,12,18,infancy,high,true,infancy_6_12_cognitive_1,Logic development,Understand cause and effect,Interactive cause-effect toys,No understanding by 15 months,Cause-effect learning toys,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_12_18_social_emotional_1,Stranger awareness,Stranger awareness and appropriate anxiety,social_emotional,infancy_12_18,1y 0m - 1y 6m,12,18,infancy,medium,true,infancy_6_12_social_emotional_1,Social discrimination,Show wariness of strangers,Gradual social exposure,No stranger awareness or extreme fear,Social development guidance,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_12_18_language_1,First words,First words and meaningful sounds,language,infancy_12_18,1y 0m - 1y 6m,12,18,infancy,critical,true,infancy_6_12_language_1,Word production,Say first meaningful words,Repeat and reinforce words,No words by 15 months,First words encouragement,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_18_24_physical_1,Crawling,Crawling and pulling to stand,physical,infancy_18_24,1y 6m - 2y 0m,18,24,infancy,critical,true,infancy_12_18_physical_1,Mobility progression,Crawl and pull to standing,Encourage crawling exploration,No crawling by 18 months,Crawling development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_18_24_cognitive_1,Problem solving,Problem-solving with toys and objects,cognitive,infancy_18_24,1y 6m - 2y 0m,18,24,infancy,high,true,infancy_12_18_cognitive_1,Problem solving,Solve simple problems,Provide puzzles and challenges,No problem-solving attempts,Problem-solving toys,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_18_24_social_emotional_1,Emotional regulation,Basic emotional regulation development,social_emotional,infancy_18_24,1y 6m - 2y 0m,18,24,infancy,high,true,infancy_12_18_social_emotional_1,Emotional control,Show basic emotional control,Model emotional regulation,Extreme emotional outbursts,Emotional regulation strategies,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_18_24_language_1,Simple commands,Understanding simple commands,language,infancy_18_24,1y 6m - 2y 0m,18,24,infancy,high,true,infancy_12_18_language_1,Command comprehension,Follow simple instructions,Use clear simple commands,No command following by 20 months,Language comprehension activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_24_30_physical_1,First steps,First steps and independent walking,physical,early_childhood_24_30,2y 0m - 2y 6m,24,30,early_childhood,critical,true,infancy_18_24_physical_1,Independent walking,Walk without support,Encourage walking practice,No walking by 24 months,Walking development support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_24_30_cognitive_1,Memory development,Memory development and recognition,cognitive,early_childhood_24_30,2y 0m - 2y 6m,24,30,early_childhood,high,true,infancy_18_24_cognitive_1,Memory skills,Remember familiar people and places,Memory games and repetition,Poor memory recall,Memory enhancement activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_24_30_social_emotional_1,Basic social play,Basic social play and interaction,social_emotional,early_childhood_24_30,2y 0m - 2y 6m,24,30,early_childhood,high,true,infancy_18_24_social_emotional_1,Social interaction,Engage in simple play with others,Provide social play opportunities,No interest in social play,Social play development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_24_30_language_1,Basic vocabulary,Basic vocabulary development,language,early_childhood_24_30,2y 0m - 2y 6m,24,30,early_childhood,critical,true,infancy_18_24_language_1,Vocabulary growth,Use increasing number of words,Read together daily,Limited vocabulary growth,Vocabulary building activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
